site,pred.disturb,pred.level,flight,patcharea,mudarea
Gracie,95,low,Gracie1,10.899,NA
Gracie,95,low,Gracie1,13.997,561.308
Gracie,95,low,Gracie1,19.379,2102.649
Gracie,95,low,Gracie1,22.463,NA
Gracie,95,low,Gracie1,24.894,NA
Gracie,95,low,Gracie2,24.894,103.392
Gracie,95,low,Gracie1,25.922,1140.881
Gracie,95,low,Gracie2,25.922,141.779
Gracie,95,low,Gracie1,37.121,NA
Gracie,95,low,Gracie2,37.121,109.264
Gracie,95,low,Gracie1,48.894,NA
Gracie,95,low,Gracie2,48.894,17.072
Gracie,95,low,Gracie1,68.133,NA
Gracie,95,low,Gracie2,68.133,142.363
Gracie,95,low,Gracie1,97.201,NA
Gracie,95,low,Gracie2,97.201,48.42
Gracie,95,low,Gracie1,303.717,NA
Gracie,95,low,Gracie2,303.717,2.688
GTM,1201,medium,GTM1,7.466,NA
GTM,1201,medium,GTM1,13.531,NA
GTM,1201,medium,GTM1,13.919,NA
GTM,1201,medium,GTM1,16.763,NA
GTM,1201,medium,GTM1,20.91,NA
GTM,1201,medium,GTM1,24.34,NA
GTM,1201,medium,GTM1,31.355,NA
GTM,1201,medium,GTM1,48.126,NA
GTM,1201,medium,GTM1,50.122,NA
GTM,1201,medium,GTM1,54.225,NA
GTM,1201,medium,GTM1,54.859,235.38
GTM,1201,medium,GTM1,55.861,1758.421
GTM,1201,medium,GTM1,57.458,NA
GTM,1201,medium,GTM1,67.38,NA
GTM,1201,medium,GTM1,67.637,NA
GTM,1201,medium,GTM1,70.897,NA
GTM,1201,medium,GTM1,83.315,4483.836
GTM,1201,medium,GTM1,107.037,116.804
GTM,1201,medium,GTM1,133.409,746.909
GTM,1201,medium,GTM1,139.691,NA
GTM,1201,medium,GTM1,169.125,NA
GTM,1201,medium,GTM1,227.648,NA
GTM,1201,medium,GTM1,253.548,5648.732
GTM,1201,medium,GTM1,422.467,NA
Guana,2105,high,Guana1,2.17,NA
Guana,2105,high,Guana1,2.293,NA
Guana,2105,high,Guana2,2.549,751.288
Guana,2105,high,Guana1,2.787,NA
Guana,2105,high,Guana1,2.826,NA
Guana,2105,high,Guana1,3.075,141.798
Guana,2105,high,Guana2,3.189,NA
Guana,2105,high,Guana2,3.584,NA
Guana,2105,high,Guana1,3.832,NA
Guana,2105,high,Guana2,4.131,NA
Guana,2105,high,Guana2,4.322,373.076
Guana,2105,high,Guana1,4.388,91.429
Guana,2105,high,Guana2,4.394,NA
Guana,2105,high,Guana2,4.819,NA
Guana,2105,high,Guana2,5.509,18.749
Guana,2105,high,Guana1,6.094,69.152
Guana,2105,high,Guana2,6.112,NA
Guana,2105,high,Guana2,6.184,NA
Guana,2105,high,Guana2,6.556,NA
Guana,2105,high,Guana2,6.853,NA
Guana,2105,high,Guana2,7.86,NA
Guana,2105,high,Guana1,8.003,33.651
Guana,2105,high,Guana2,8.045,NA
Guana,2105,high,Guana2,8.954,2224.754
Guana,2105,high,Guana2,9.404,NA
Guana,2105,high,Guana1,9.46,162.262
Guana,2105,high,Guana2,11.246,NA
Guana,2105,high,Guana2,11.522,NA
Guana,2105,high,Guana2,12.651,NA
Guana,2105,high,Guana1,12.878,15.087
Guana,2105,high,Guana2,15.03,NA
Guana,2105,high,Guana2,15.729,NA
Guana,2105,high,Guana2,18.953,NA
Guana,2105,high,Guana2,29.53,NA
Guana,2105,high,Guana1,29.821,15.661
Guana,2105,high,Guana1,34.687,69.408
Guana,2105,high,Guana1,42.72,1708.564
Kenan,1201,medium,Kenan1,2.159,NA
Kenan,1201,medium,Kenan1,2.517,NA
Kenan,1201,medium,Kenan1,2.672,NA
Kenan,1201,medium,Kenan1,2.775,78.706
Kenan,1201,medium,Kenan1,2.794,426.594
Kenan,1201,medium,Kenan1,2.865,783.389
Kenan,1201,medium,Kenan1,2.93,NA
Kenan,1201,medium,Kenan1,2.997,NA
Kenan,1201,medium,Kenan1,3.066,NA
Kenan,1201,medium,Kenan1,3.38,NA
Kenan,1201,medium,Kenan1,3.385,NA
Kenan,1201,medium,Kenan1,3.52,9.977
Kenan,1201,medium,Kenan1,3.636,24.756
Kenan,1201,medium,Kenan1,3.745,NA
Kenan,1201,medium,Kenan1,3.761,NA
Kenan,1201,medium,Kenan1,3.812,NA
Kenan,1201,medium,Kenan1,3.902,NA
Kenan,1201,medium,Kenan1,4.006,NA
Kenan,1201,medium,Kenan1,4.427,NA
Kenan,1201,medium,Kenan1,4.441,NA
Kenan,1201,medium,Kenan1,4.682,NA
Kenan,1201,medium,Kenan1,5.028,NA
Kenan,1201,medium,Kenan1,5.208,NA
Kenan,1201,medium,Kenan1,5.305,NA
Kenan,1201,medium,Kenan1,5.582,NA
Kenan,1201,medium,Kenan1,6.064,NA
Kenan,1201,medium,Kenan1,6.648,NA
Kenan,1201,medium,Kenan1,7.147,NA
Kenan,1201,medium,Kenan1,7.561,NA
Kenan,1201,medium,Kenan1,8.625,NA
Kenan,1201,medium,Kenan1,8.723,NA
Kenan,1201,medium,Kenan1,8.82,NA
Kenan,1201,medium,Kenan1,9.22,NA
Kenan,1201,medium,Kenan1,9.389,NA
Kenan,1201,medium,Kenan1,9.762,NA
Kenan,1201,medium,Kenan1,10.246,NA
Kenan,1201,medium,Kenan1,10.557,NA
Kenan,1201,medium,Kenan1,10.715,NA
Kenan,1201,medium,Kenan1,11.86,NA
Kenan,1201,medium,Kenan2,13.83,NA
Kenan,1201,medium,Kenan1,14.09,NA
Kenan,1201,medium,Kenan1,14.21,NA
Kenan,1201,medium,Kenan1,14.39,NA
Kenan,1201,medium,Kenan1,15.23,NA
Kenan,1201,medium,Kenan1,17.518,NA
Kenan,1201,medium,Kenan1,19.608,NA
Kenan,1201,medium,Kenan1,19.909,NA
Kenan,1201,medium,Kenan1,20.815,NA
Kenan,1201,medium,Kenan2,21.154,NA
Kenan,1201,medium,Kenan1,21.243,NA
Kenan,1201,medium,Kenan1,24.355,NA
Kenan,1201,medium,Kenan2,24.779,90.844
Kenan,1201,medium,Kenan2,29.634,NA
Kenan,1201,medium,Kenan2,34.471,159.423
Kenan,1201,medium,Kenan1,34.764,NA
Kenan,1201,medium,Kenan2,34.907,134.152
Kenan,1201,medium,Kenan2,35.777,NA
Kenan,1201,medium,Kenan2,43.474,NA
Kenan,1201,medium,Kenan2,45.446,NA
Kenan,1201,medium,Kenan2,60.58,NA
Kenan,1201,medium,Kenan1,60.956,NA
Kenan,1201,medium,Kenan2,63.401,68.077
Kenan,1201,medium,Kenan2,65.726,59.304
Kenan,1201,medium,Kenan2,66.482,NA
Kenan,1201,medium,Kenan2,72.016,NA
Kenan,1201,medium,Kenan2,87.928,215.304
Kenan,1201,medium,Kenan2,92.097,493.993
Kenan,1201,medium,Kenan2,95.298,145.979
Kenan,1201,medium,Kenan2,124.076,NA
Kenan,1201,medium,Kenan2,135.649,19.42
Kenan,1201,medium,Kenan2,173.577,NA
Kenan,1201,medium,Kenan2,186.281,NA
Kenan,1201,medium,Kenan2,193.035,150.509
Kenan,1201,medium,Kenan2,200.721,318.225
MarshLanding,95,low,ML1,5.498,638.519
MarshLanding,95,low,ML1,5.738,67.372
MarshLanding,95,low,ML1,6.722,141.883
MarshLanding,95,low,ML1,7.038,105.69
MarshLanding,95,low,ML1,12.212,243.28
MarshLanding,95,low,ML1,175.429,71.187
Matanzas,1201,medium,Mat1,2.012,NA
Matanzas,1201,medium,Mat1,2.045,304.59
Matanzas,1201,medium,Mat1,2.059,NA
Matanzas,1201,medium,Mat1,2.187,48.706
Matanzas,1201,medium,Mat1,2.254,NA
Matanzas,1201,medium,Mat1,2.367,84.056
Matanzas,1201,medium,Mat1,2.481,NA
Matanzas,1201,medium,Mat1,2.567,37.429
Matanzas,1201,medium,Mat1,2.576,NA
Matanzas,1201,medium,Mat1,2.638,NA
Matanzas,1201,medium,Mat1,2.719,NA
Matanzas,1201,medium,Mat1,2.866,NA
Matanzas,1201,medium,Mat1,3.055,85.143
Matanzas,1201,medium,Mat1,3.07,NA
Matanzas,1201,medium,Mat1,3.15,30.687
Matanzas,1201,medium,Mat1,3.155,NA
Matanzas,1201,medium,Mat1,3.155,NA
Matanzas,1201,medium,Mat1,3.212,31.508
Matanzas,1201,medium,Mat1,3.34,NA
Matanzas,1201,medium,Mat1,3.383,NA
Matanzas,1201,medium,Mat1,3.406,NA
Matanzas,1201,medium,Mat1,3.516,NA
Matanzas,1201,medium,Mat1,3.601,256.368
Matanzas,1201,medium,Mat1,4.559,NA
Matanzas,1201,medium,Mat1,4.849,NA
Matanzas,1201,medium,Mat1,5.674,NA
Matanzas,1201,medium,Mat1,6.566,108.95
Matanzas,1201,medium,Mat1,6.808,NA
Matanzas,1201,medium,Mat1,7.947,NA
Matanzas,1201,medium,Mat1,8.848,NA
Matanzas,1201,medium,Mat1,9.65,NA
Matanzas,1201,medium,Mat1,9.811,NA
Matanzas,1201,medium,Mat1,9.949,NA
Matanzas,1201,medium,Mat1,9.958,NA
Matanzas,1201,medium,Mat1,10.205,NA
Matanzas,1201,medium,Mat1,11.14,NA
Matanzas,1201,medium,Mat1,12.184,NA
Matanzas,1201,medium,Mat1,13.123,NA
Matanzas,1201,medium,Mat1,16.174,NA
Matanzas,1201,medium,Mat1,20.32,NA
Matanzas,1201,medium,Mat1,21.022,NA
Matanzas,1201,medium,Mat1,22.645,NA
Matanzas,1201,medium,Mat1,25.141,20.391
Matanzas,1201,medium,Mat1,25.7,NA
Matanzas,1201,medium,Mat1,27.968,NA
Matanzas,1201,medium,Mat1,29.947,NA
Matanzas,1201,medium,Mat1,34.444,33.467
Matanzas,1201,medium,Mat1,34.938,45.85
Matanzas,1201,medium,Mat1,67.247,NA
Matanzas,1201,medium,Mat1,83.236,27.053
Miller,2105,high,Miller1,2.035,NA
Miller,2105,high,Miller1,2.044,35.08
Miller,2105,high,Miller1,2.079,NA
Miller,2105,high,Miller1,2.242,NA
Miller,2105,high,Miller1,2.386,NA
Miller,2105,high,Miller1,2.787,NA
Miller,2105,high,Miller1,2.795,NA
Miller,2105,high,Miller1,2.864,NA
Miller,2105,high,Miller1,2.891,271.58
Miller,2105,high,Miller1,3.005,NA
Miller,2105,high,Miller1,3.023,NA
Miller,2105,high,Miller1,3.22,NA
Miller,2105,high,Miller1,3.273,NA
Miller,2105,high,Miller1,3.278,NA
Miller,2105,high,Miller1,3.373,NA
Miller,2105,high,Miller1,3.473,NA
Miller,2105,high,Miller1,3.506,NA
Miller,2105,high,Miller1,3.747,NA
Miller,2105,high,Miller1,3.777,922.327
Miller,2105,high,Miller1,3.883,311.507
Miller,2105,high,Miller1,3.886,142.363
Miller,2105,high,Miller1,4.054,NA
Miller,2105,high,Miller1,4.441,950.473
Miller,2105,high,Miller1,4.605,NA
Miller,2105,high,Miller1,4.691,NA
Miller,2105,high,Miller1,4.727,103.392
Miller,2105,high,Miller1,4.74,NA
Miller,2105,high,Miller1,4.967,NA
Miller,2105,high,Miller1,5.012,NA
Miller,2105,high,Miller1,5.036,NA
Miller,2105,high,Miller1,5.135,NA
Miller,2105,high,Miller1,5.304,NA
Miller,2105,high,Miller1,5.363,141.779
Miller,2105,high,Miller1,5.393,NA
Miller,2105,high,Miller1,5.735,NA
Miller,2105,high,Miller1,6.098,151.022
Miller,2105,high,Miller1,7.001,NA
Miller,2105,high,Miller1,7.144,37.661
Miller,2105,high,Miller1,7.45,NA
Miller,2105,high,Miller1,8.016,NA
Miller,2105,high,Miller1,8.361,NA
Miller,2105,high,Miller1,8.492,NA
Miller,2105,high,Miller1,8.571,NA
Miller,2105,high,Miller1,9.289,76.237
Miller,2105,high,Miller1,9.983,NA
Miller,2105,high,Miller1,10.343,NA
Miller,2105,high,Miller1,10.734,NA
Miller,2105,high,Miller1,11.534,NA
Miller,2105,high,Miller1,12.593,NA
Miller,2105,high,Miller1,13.471,NA
Miller,2105,high,Miller1,13.882,NA
Miller,2105,high,Miller1,15.414,NA
Miller,2105,high,Miller1,18.568,NA
Miller,2105,high,Miller1,29.091,NA
Miller,2105,high,Miller1,46.418,NA
Miller,2105,high,Miller1,52.886,NA
Pump,2105,high,Pump2,2.119,NA
Pump,2105,high,Pump1,2.285,NA
Pump,2105,high,Pump1,2.337,76.237
Pump,2105,high,Pump1,2.349,NA
Pump,2105,high,Pump2,2.48,NA
Pump,2105,high,Pump1,2.717,NA
Pump,2105,high,Pump1,2.758,NA
Pump,2105,high,Pump1,3.064,NA
Pump,2105,high,Pump2,3.163,NA
Pump,2105,high,Pump2,3.256,NA
Pump,2105,high,Pump1,3.473,31.368
Pump,2105,high,Pump1,3.564,NA
Pump,2105,high,Pump1,3.654,NA
Pump,2105,high,Pump1,3.738,NA
Pump,2105,high,Pump2,3.797,NA
Pump,2105,high,Pump2,4.192,NA
Pump,2105,high,Pump1,4.244,NA
Pump,2105,high,Pump1,4.425,NA
Pump,2105,high,Pump1,4.515,NA
Pump,2105,high,Pump1,4.532,NA
Pump,2105,high,Pump1,4.584,NA
Pump,2105,high,Pump2,4.589,439.207
Pump,2105,high,Pump1,4.674,NA
Pump,2105,high,Pump2,4.72,NA
Pump,2105,high,Pump2,4.766,NA
Pump,2105,high,Pump1,4.931,NA
Pump,2105,high,Pump2,5.04,NA
Pump,2105,high,Pump2,5.043,NA
Pump,2105,high,Pump1,5.137,NA
Pump,2105,high,Pump1,5.174,NA
Pump,2105,high,Pump1,5.181,NA
Pump,2105,high,Pump1,5.401,NA
Pump,2105,high,Pump1,5.598,NA
Pump,2105,high,Pump2,5.857,NA
Pump,2105,high,Pump1,5.981,NA
Pump,2105,high,Pump2,6.006,292.969
Pump,2105,high,Pump2,6.073,NA
Pump,2105,high,Pump1,6.118,NA
Pump,2105,high,Pump1,6.14,NA
Pump,2105,high,Pump1,6.637,NA
Pump,2105,high,Pump2,6.643,NA
Pump,2105,high,Pump1,6.746,NA
Pump,2105,high,Pump1,6.891,NA
Pump,2105,high,Pump2,7.005,NA
Pump,2105,high,Pump1,7.147,NA
Pump,2105,high,Pump2,7.832,NA
Pump,2105,high,Pump2,7.849,NA
Pump,2105,high,Pump1,7.991,NA
Pump,2105,high,Pump1,8.066,345.89
Pump,2105,high,Pump1,8.652,NA
Pump,2105,high,Pump2,8.727,NA
Pump,2105,high,Pump1,8.834,NA
Pump,2105,high,Pump2,9.111,NA
Pump,2105,high,Pump1,9.27,NA
Pump,2105,high,Pump1,9.422,NA
Pump,2105,high,Pump1,9.462,NA
Pump,2105,high,Pump2,9.496,NA
Pump,2105,high,Pump2,9.585,NA
Pump,2105,high,Pump2,9.674,492.28
Pump,2105,high,Pump1,9.721,NA
Pump,2105,high,Pump1,9.938,NA
Pump,2105,high,Pump1,10.136,NA
Pump,2105,high,Pump2,10.421,NA
Pump,2105,high,Pump1,10.437,NA
Pump,2105,high,Pump2,10.701,NA
Pump,2105,high,Pump2,11.03,NA
Pump,2105,high,Pump2,11.114,NA
Pump,2105,high,Pump1,11.462,NA
Pump,2105,high,Pump1,11.608,NA
Pump,2105,high,Pump1,11.753,NA
Pump,2105,high,Pump1,11.76,NA
Pump,2105,high,Pump1,11.824,NA
Pump,2105,high,Pump1,11.911,NA
Pump,2105,high,Pump2,12.034,2472.019
Pump,2105,high,Pump1,12.249,NA
Pump,2105,high,Pump2,12.479,NA
Pump,2105,high,Pump2,12.888,1073.686
Pump,2105,high,Pump1,13.294,NA
Pump,2105,high,Pump1,13.874,NA
Pump,2105,high,Pump1,13.966,NA
Pump,2105,high,Pump1,14.294,NA
Pump,2105,high,Pump1,14.46,NA
Pump,2105,high,Pump1,14.636,NA
Pump,2105,high,Pump2,14.952,NA
Pump,2105,high,Pump2,15.041,NA
Pump,2105,high,Pump1,15.074,NA
Pump,2105,high,Pump1,15.091,NA
Pump,2105,high,Pump2,15.211,NA
Pump,2105,high,Pump1,15.249,NA
Pump,2105,high,Pump2,15.302,NA
Pump,2105,high,Pump1,15.763,NA
Pump,2105,high,Pump1,15.769,372.755
Pump,2105,high,Pump1,16.074,NA
Pump,2105,high,Pump1,16.31,NA
Pump,2105,high,Pump1,16.551,NA
Pump,2105,high,Pump1,16.774,NA
Pump,2105,high,Pump2,17.688,NA
Pump,2105,high,Pump2,18.018,NA
Pump,2105,high,Pump2,18.994,NA
Pump,2105,high,Pump2,19.497,NA
Pump,2105,high,Pump1,20.894,NA
Pump,2105,high,Pump2,20.956,NA
Pump,2105,high,Pump1,21.461,151.022
Pump,2105,high,Pump2,22.926,NA
Pump,2105,high,Pump2,23.09,1690.41
Pump,2105,high,Pump2,23.14,2416.216
Pump,2105,high,Pump1,24.091,NA
Pump,2105,high,Pump2,24.508,NA
Pump,2105,high,Pump1,24.586,NA
Pump,2105,high,Pump2,25.491,NA
Pump,2105,high,Pump1,25.834,NA
Pump,2105,high,Pump2,25.88,NA
Pump,2105,high,Pump2,26.8,NA
Pump,2105,high,Pump2,27.237,NA
Pump,2105,high,Pump2,27.362,NA
Pump,2105,high,Pump2,27.953,NA
Pump,2105,high,Pump2,28.675,NA
Pump,2105,high,Pump2,30.312,NA
Pump,2105,high,Pump2,31.037,NA
Pump,2105,high,Pump1,36.991,NA
Pump,2105,high,Pump2,37.978,NA
Pump,2105,high,Pump2,38.134,NA
Pump,2105,high,Pump2,42.548,NA
Pump,2105,high,Pump2,44.669,NA
Pump,2105,high,Pump1,44.893,NA
Pump,2105,high,Pump2,49.822,NA
Pump,2105,high,Pump2,53.693,NA
Pump,2105,high,Pump2,58.846,NA
Pump,2105,high,Pump1,58.904,NA
Pump,2105,high,Pump1,59.406,NA
Pump,2105,high,Pump2,61.117,457.015
Pump,2105,high,Pump2,92.831,NA
Pump,2105,high,Pump1,103.943,NA
Pump,2105,high,Pump2,172.412,NA
