Day,Site,Rep,Bed.no,muss.alive,muss.gone.day,muss.gone.percap
10,Miller Pump,8,2,14,0.857142857,0.042857143
10,Miller Pump,8,3,20,0,0
14,Miller Pump,1,1,10,0,0
14,Miller Pump,1,2,0,1,0.25
14,Miller Pump,1,3,0,1.5,0.25
14,Miller Pump,2,1,12,1.5,0.083333333
14,Miller Pump,2,2,0,3,0.25
14,Miller Pump,2,3,0,2.5,0.25
14,Miller Pump,3,1,15,0.75,0.041666667
14,Miller Pump,3,2,15,0.75,0.041666667
14,Miller Pump,3,3,8,3,0.083333333
14,Miller Pump,4,1,8,3,0.083333333
14,Miller Pump,4,2,8,3,0.15
14,Miller Pump,4,3,12,2,0.1
14,Miller Pump,5,1,6,3,0.166666667
14,Miller Pump,5,2,0,2.5,0.25
14,Miller Pump,5,3,0,2.5,0.25
14,Miller Pump,6,1,0,3,0.25
14,Miller Pump,6,2,0,3,0.25
14,Miller Pump,6,3,0,3,0.25
14,Miller Pump,7,1,20,0,0
14,Miller Pump,7,2,15,0,0
14,Miller Pump,7,3,10,1.5,0.09375
14,Miller Pump,8,1,8,3,0.107142857
14,Miller Pump,8,2,8,3,0.107142857
14,Miller Pump,8,3,16,1,0.05
